nome;categoria;pasto_consigliato;kcal;proteine;lipidi;carboidrati;energia_kj;colesterolo;amido;zuccheri_solubili;alcol;fibra_totale;fibra_solubile;fibra_insolubile;saccarosio;glucosio;fruttosio;lattosio;galattosio;maltosio;maltotriosio;raffinosio;fluoro;sodio;magnesio;fosforo;cloro;potassio;calcio;cromo;manganese;ferro;nichel;rame;zinco;selenio;iodio;carotenoidi_totali;alfa_carotene;beta_carotene;criptoxantina;licopene;luteina;retinolo;zeaxantina;vitamina_a_equivalenti_retinolo;tiamina;riboflavina;niacina;acido_pantotenico;vitamina_b6;biotina;folati;vitamina_b12;vitamina_c;vitamina_d;vitamina_e;alfa_tocoferolo;beta_tocoferolo;gamma_tocoferolo;delta_tocoferolo;vitamina_k;acidi_grassi_saturi;rapporto_polinsaturi_saturi;alanina;cistina;acido_aspartico;acido_glutammico;fenilalanina;glicina;istidina;isoleucina;lisina;leucina;metionina;prolina;arginina;serina;treonina;valina;triptofano;tirosina;indice_chimico;aminoacido_limitante;acido_caffeico;acido_citrico;acido_fitico;acido_malico;apigenina;attivita_antiossidante;kaempferolo;fitosteroli;frutto-oligosaccaridi;miricetina;polifenoli;quercetina;violaxantina
Farro perlato, crudo;Cereali e derivati;cena,pranzo;353;14.6;2.4;69.3;1476;0.0;60.9;2.4;0;6.5;96;550;0.0;0;0.0;0;0.0;0.0;0.0;0;0;10;112;387;0;407.0;35.0;0;2;1.9;0;39.0;26.0;0;0;0;0;0.0;0;0;0;0.0;0;0;0.0;0.0;0.0;0;0;0.0;31.0;0;0;0;0;0;0;0;0;0;0;0;396.0;272.0;594.0;2869.0;500.0;419.0;246.0;402.0;304.0;736.0;201.0;947.0;487.0;448.0;299.0;528.0;131.0;280.0;68;Lisina;0;0;0;0;0;0;0;0;0;0;0;0;0
Frumento duro;Cereali e derivati;cena,pranzo;332;13.0;2.9;62.5;1389;0.0;53.9;3.2;0;9.8;0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0;0;160;330;0;494.0;30.0;0;0;3.6;0;40.0;29.0;3.8;0;0;0;0.0;0;0;0;0.0;0;2;43.0;15.0;570.0;0;0;0.0;40.0;0;0;0;0;0;0;0;0;0;0;2.71;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0
Frumento tenero;Cereali e derivati;cena,pranzo;336;12.3;2.6;65.2;1408;0.0;56.3;3.3;0;9.7;0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0;0;0;304;0;0.0;35.0;0;0;3.3;0;31.0;31.0;0;0;0;0;0.0;0;0;0;0.0;0;0;42.0;14.0;540.0;0;0;0.0;39.0;0;0;0;0;0;0;0;0;0;0;2.65;376.0;282.0;515.0;3144.0;466.0;401.0;229.0;365.0;293.0;693.0;160.0;1029.0;476.0;484.0;310.0;468.0;109.0;337.0;65;Lisina;0;0;0;0;0;0;0;0;0;0;0;0;0
Couscous, crudo;Cereali e derivati;cena,pranzo;361;13.7;1.1;76.5;1509;0.0;67.1;2.7;0;4.5;0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0;10;52;195;0;247.0;24.0;0;9;1.9;0;31.0;14.0;0;0;0;0;0.0;0;0;0;0.0;0;0;16.0;8.0;342.0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0
Grano saraceno;Cereali e derivati;cena,pranzo;329;12.4;3.3;61.2;1376;0.0;0;0;0;10;172;835;0.0;0;0.0;0;0.0;0.0;0.0;0;0;1;0;330;0;450.0;110.0;0;0;4;0;0.0;0.0;0;0;0;0;0.0;0;0;0;0.0;0;0;60.0;0.0;440.0;0;0;0.0;24.0;0;0;0;0;0;0;0;0;0;0;1.86;449.0;263.0;990.0;1854.0;468.0;601.0;246.0;385.0;587.0;675.0;243.0;301.0;967.0;478.0;370.0;536.0;0.0;286.0;114;Leucina;0;0;0;0;0;0;0;0;0;0;0;0;0
Mais;Cereali e derivati;cena,pranzo;357;9.2;3.8;75.1;1492;0.0;66;2.5;0;2;0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0;35;120;256;0;287.0;15.0;0;0;2.4;0;31.0;221.0;15.5;0;0;0;0.0;0;0;0;0.0;0;62;36.0;20.0;150.0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;2.88;783.0;222.0;651.0;1978.0;523.0;377.0;291.0;388.0;284.0;1270.0;211.0;957.0;467.0;516.0;372.0;524.0;68.0;382.0;63;Lisina;0;0;0;0;0;0;0;0;0;0;0;0;0
Mais, dolce, in scatola, sgocciolato;Cereali e derivati;cena,pranzo;105;3.4;1.3;20.5;439;0.0;13.8;5.3;0;1.4;0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0;270;0;79;0;220.0;4.0;0;0;0.5;0;5.0;45.0;0.7;0;0;0;0.0;0;0;0;0.0;0;24;25.0;18.0;86.0;0;0;0.0;0.0;0;7;0;0.5;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0
Polenta, cruda;Cereali e derivati;cena,pranzo;323;8.0;0.7;72.7;1353;0.0;62.5;0.6;0;6.2;0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0;5;15;74;0;34.0;7.0;0;0;0.4;0;6.0;18.0;0;0;0;0;0.0;0;0;0;0.0;0;11;24.0;7.0;185.0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0
Polenta, cotta;Cereali e derivati;cena,pranzo;73;0.9;0.04;17.8;303;0.0;16;0.2;0;0.9;0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0;91;2;8;0;16.0;3.0;0;0;0.1;0;1.0;3.0;0;0;0;0;0.0;0;0;0;0.0;0;4;5.0;1.0;39.0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0
Miglio;Cereali e derivati;cena,pranzo;343;11.8;3.9;64.9;1434;0.0;0;0;0;8.5;0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0;5;0;285;0;195.0;8.0;0;0;3;0;0.0;0.0;0;0;0;0;0.0;0;0;0;0.0;0;0;42.0;29.0;472.0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;1021.0;165.0;601.0;2164.0;503.0;232.0;189.0;388.0;165.0;1177.0;254.0;688.0;320.0;624.0;301.0;498.0;123.0;329.0;37;Lisina;0;0;0;0;0;0;0;0;0;0;0;0;0
Miglio, decorticato;Cereali e derivati;cena,pranzo;342;11.0;4.2;67.8;1432;0.0;57.2;4.9;0;3.1;0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0;1;160;300;0;174.0;17.0;0;0;3.5;0;55.0;23.0;0;0;0;0;0.0;0;0;0;0.0;0;0;0.0;0.0;0.0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0
Orzo perlato;Cereali e derivati;cena,pranzo;346;9.4;1.5;73.7;1447;0.0;65.6;1.5;0;9.2;441;483;60.0;10;10.0;0;0.0;60.0;0.0;20;0;3;46;178;0;179.0;21.0;0;80;1.1;0;29.0;115.0;0;0;0;0;0.0;0;0;0;0.0;0;0;9.0;8.0;310.0;0;0;0.0;20.0;0;0;0;0;0;0;0;0;0;0;2.66;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;0;0;0.48;0;0;0;0;0;0;0;0;0;0
Quinoa, cruda;Cereali e derivati;cena,pranzo;376;15.4;8.1;57.8;1572;0.0;47.7;5.3;0;12.2;0;0;275.0;176;25.0;0;0.0;25.0;0.0;28;0;tr;189;438;0;655.0;46.0;0;39;3.6;0;51.0;274.0;0;0;0;0;0.0;0;0;0;0.0;0;0;0.0;0.0;0.0;0;0;0.0;20.0;0;0;0;0;0;0;0;0;0;0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0
Quinoa, cotta, bollita;Cereali e derivati;cena,pranzo;140;4.8;2.5;24.3;586;0.0;19.3;3.1;0;3.6;0;0;231.0;41;7.0;0;0.0;6.0;0.0;22;0;4;61;139;0;175.0;21.0;0;110;1.1;0;16.0;118.0;0;0;0;0;0.0;0;0;0;0.0;0;0;0.0;0.0;0.0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0
Riso, brillato;Cereali e derivati;cena,pranzo;334;6.7;0.4;80.4;1397;0.0;72.9;0.2;0;1;8;89;0.0;0;0.0;0;0.0;0.0;0.0;0;0;5;20;94;0;92.0;24.0;0;0;0.8;0;18.0;13.0;10;0;0;0;0.0;0;0;0;0.0;0;0;11.0;3.0;130.0;0;0;0.0;0.0;0;0;0;tr;0;0;0;0;0;0;1.80;599.0;161.0;980.0;2021.0;537.0;463.0;247.0;457.0;384.0;881.0;223.0;497.0;810.0;519.0;367.0;653.0;130.0;340.0;85;Lisina;0;0;0;0;0;0;0;0;0;0;0;0;0
Riso, integrale;Cereali e derivati;cena,pranzo;341;7.5;1.9;77.4;1427;0.0;69.2;1.2;0;1.9;12;18;0.0;0;0.0;0;0.0;0.0;0.0;0;0;9;0;221;0;214.0;32.0;0;0;1.6;0;0.0;0.0;0;0;0;0;0.0;0;0;0;0.0;0;0;48.0;5.0;470.0;0;0;0.0;0.0;0;0;0;0.7;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;0;0;0.52;0;0;0;0;0;0;0;0;0;0
Riso, parboiled;Cereali e derivati;cena,pranzo;338;7.4;0.3;81.3;1415;0.0;73.6;0.3;0;0.5;0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0;9;0;200;0;150.0;60.0;0;0;2.9;0;34.0;2.0;14;0;0;0;0.0;0;0;0;0.0;0;0;34.0;0.0;0.0;0;0;0.0;0.0;0;0;0;tr;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0
Riso Basmati, crudo;Cereali e derivati;cena,pranzo;367;9.0;1.9;82.9;1534;0.0;74.4;1.1;0;1.3;0;0;64.0;28;3.0;0;0.0;14.0;0.0;0;0;tr;32;131;0;114.0;5.0;0;8;0.8;0;35.0;148.0;0;0;0;0;0.0;0;0;0;0.0;0;0;0.0;0.0;0.0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0
Riso Venere, crudo;Cereali e derivati;cena,pranzo;355;7.8;1.3;80.4;1484;0.0;71.1;2.2;0;5.1;0;0;129.0;58;14.0;0;0.0;21.0;0.0;0;0;tr;101;336;0;280.0;13.0;0;31;1.1;0;22.0;150.0;0;0;0;0;0.0;0;0;0;0.0;0;0;0.0;0.0;0.0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0
Crusca di frumento;Cereali e derivati;cena,pranzo;290;14.1;5.5;26.6;1215;0.0;20.7;3.8;0;42.4;131;4113;0.0;0;0.0;0;0.0;0.0;0.0;0;0;28;550;1200;0;1160.0;110.0;0;0;12.9;0;123.0;99.0;4.3;0;0;0;0.0;0;0;0;0.0;0;1;89.0;36.0;296.0;0;0;0.0;0.0;0;0;0;1.6;0;0;0;0;0;0;3.17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;0;0;3.14;0;0;0;0;0;0;0;0;0;0
Farina d'avena;Cereali e derivati;cena,pranzo;378;12.6;7.1;66.3;1582;0.0;59.2;1.2;0;7.6;0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0;33;0;342;0;370.0;80.0;0;0;4.2;0;0.0;0.0;0;0;0;0;0.0;0;0;0;0.0;0;0;52.0;17.0;240.0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;2.12;450.0;270.0;770.0;2090.0;500.0;470.0;210.0;380.0;370.0;730.0;170.0;520.0;630.0;470.0;330.0;510.0;147.0;330.0;82;Lisina;0;0;0;0;0;0;0;0;0;0;0;0;0
Farina d'orzo;Cereali e derivati;cena,pranzo;333;10.6;1.9;68.4;1393;0.0;61.5;0.8;0;8.5;0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0;4;0;393;0;320.0;39.0;0;0;2.4;0;0.0;0.0;0;0;0;0;0.0;0;0;0;0.0;0;0;16.0;8.0;550.0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0
Farina di frumento, tipo 00;Cereali e derivati;cena,pranzo;323;11.0;0.7;71.6;1352;0.0;63.5;1.7;0;2.2;84;141;0.0;0;0.0;0;0.0;0.0;0.0;0;0;3;0;76;0;126.0;17.0;0;0;0.7;0;0.0;0.0;0;0;0;0;0.0;0;0;0;0.0;0;0;10.0;3.0;100.0;0;0;0.0;32.0;0;0;0;0;0;0;0;0;0;0;0;289.0;261.0;392.0;3670.0;464.0;335.0;207.0;366.0;217.0;674.0;152.0;1190.0;355.0;494.0;282.0;411.0;105.0;314.0;48;Lisina;0;0;0.29;0;0;0;0;0;0;0;0;0;0
Farina di frumento, tipo 0;Cereali e derivati;cena,pranzo;321;11.5;1.0;69.5;1345;0.0;61.5;1.8;0;2.9;107;186;0.0;0;0.0;0;0.0;0.0;0.0;0;0;2;0;160;0;140.0;18.0;0;0;0.9;0;0.0;0.0;0;0;0;0;0.0;0;0;0;0.0;0;0;25.0;4.0;120.0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;3.45;303.0;241.0;390.0;3589.0;524.0;362.0;217.0;392.0;228.0;729.0;161.0;1212.0;378.0;498.0;292.0;461.0;106.0;332.0;51;Lisina;0;0;0;0;0;0;0;0;0;0;0;0;0
Farina di frumento, integrale;Cereali e derivati;cena,pranzo;313;11.9;1.9;61.8;1311;0.0;54.3;2.1;0;8.4;192;651;0.0;0;0.0;0;0.0;0.0;0.0;0;0;3;0;300;0;337.0;28.0;0;0;3;0;0.0;0.0;0;0;0;0;0.0;0;0;0;0.0;0;0;40.0;16.0;500.0;0;0;0.0;0.0;0;0;0;0.4;0;0;0;0;0;0;0;360.0;223.0;531.0;2966.0;497.0;412.0;223.0;412.0;292.0;686.0;171.0;1080.0;463.0;514.0;308.0;463.0;137.0;343.0;65;Lisina;0;0;0;0;0;0;0;0;0;0;0;0;0
Farina di frumento, duro;Cereali e derivati;cena,pranzo;330;12.9;2.8;63.2;1380;0.0;54.5;3.2;0;8.0;0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0;0;120;0;0;0.0;0.0;0;0;0;0;6.0;7.0;2.3;0;0;0;0.0;0;0;0;0.0;0;0;0.0;0.0;0.0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0
Farina di mais;Cereali e derivati;cena,pranzo;341;8.7;2.7;73.5;1426;0.0;65.4;1.5;0;3.1;35;276;0.0;0;0.0;0;0.0;0.0;0.0;0;0;1;0;99;0;130.0;6.0;0;0;1.8;0;0.0;0.0;0;0;0;0;0.0;0;0;0;0.0;0;67;35.0;10.0;190.0;0;0;0.0;0.0;0;0;0;tr;0;0;0;0;0;0;4.55;747.0;175.0;637.0;1887.0;507.0;379.0;289.0;402.0;297.0;1182.0;178.0;911.0;466.0;497.0;384.0;543.0;70.0;368.0;66;Lisina;0;0;0;0;0;0;0;0;0;0;0;0;0
Farina di riso;Cereali e derivati;cena,pranzo;332;7.3;0.5;79.1;1390;0.0;71.9;tr;0;1;10;9;0.0;0;0.0;0;0.0;0.0;0.0;0;0;4;0;90;0;104.0;7.0;0;0;0.4;0;0.0;0.0;0;0;0;0;0.0;0;0;0;0.0;0;0;5.0;4.0;140.0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0
Farina di segale;Cereali e derivati;cena,pranzo;342;11.7;2.0;67.8;1429;0.0;61.5;0.1;0;11.3;358;1069;0.0;0;0.0;0;0.0;0.0;0.0;0;0;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0;0;0;0.0;0;0;0.0;0.0;0.0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;420.0;200.0;720.0;2130.0;470.0;480.0;230.0;420.0;410.0;670.0;160.0;520.0;490.0;420.0;370.0;520.0;122.0;320.0;91;Lisina;0;0;0;0;0;0;0;0;0;0;0;0;0
Farina di soia;Legumi;cena,pranzo;469;36.8;23.5;23.4;1962;0.0;11.1;11.2;0;11.2;0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0;9;0;600;0;1660.0;210.0;0;0;6.9;0;0.0;0.0;0;0;0;0;0.0;0;0;0;0.0;0;0;75.0;28.0;200.0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;4.04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0
Mais, amido;Cereali e derivati;cena,pranzo;328;0.3;tr;87.0;1370;0.0;77.7;1.5;0;0;0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0;0;0;0.0;0;0;0.0;0.0;0.0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;tr;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0
Semola;Cereali e derivati;cena,pranzo;346;11.5;0.5;76.9;1448;0.0;68.2;1.9;0;3.6;0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0;12;0;165;0;170.0;17.0;0;0;1.3;0;0.0;0.0;0;0;0;0;0.0;0;0;0;0.0;0;0;19.0;15.0;200.0;0;0;0.0;0.0;0;0;0;tr;0;0;0;0;0;0;2.00;292.0;245.0;398.0;3636.0;489.0;305.0;205.0;369.0;209.0;707.0;156.0;1100.0;351.0;488.0;277.0;433.0;98.0;256.0;46;Lisina;0;0;0;0;0;0;0;0;0;0;0;0;0
Farina di manioca;Cereali e derivati;cena,pranzo;332;0.6;0.2;87.2;1389;0.0;79.3;tr;0;0.4;0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0;4;0;12;0;20.0;12.0;0;0;1;0;0.0;0.0;0;0;0;0;0.0;0;0;0;0.0;0;0;0.0;10.0;0.0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0
Germe di frumento;Cereali e derivati;cena,pranzo;378;26.0;10;43.5;1582;0.0;0;0;0;10.5;0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0;3;255;1100;0;827.0;72.0;0;0;10;0;95.0;122.0;3.9;0;0;0;0.0;0;0;0;0.0;0;10;244.0;61.0;620.0;0;0;0.0;0.0;0;0;0;16;0;0;0;0;0;0;3.50;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;0;0;4.14;0;0;0;0;0;0;0;0;0;0
Pane al malto;Cereali e derivati;cena,pranzo;278;8.3;2.4;56.6;1163;0.0;27.7;26.1;0;5.5;0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0;280;0;160;0;280.0;110.0;0;0;2.8;0;0.0;0.0;0;0;0;0;0.0;0;0;0;0.0;0;tr;45.0;13.0;280.0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0
Pane di segale;Cereali e derivati;cena,pranzo;228;8.3;1.7;45.4;954;0.0;39.5;1.8;0;4.6;0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0;580;0;160;0;190.0;80.0;0;0;2.5;0;0.0;0.0;0;0;0;0;0.0;0;0;0;0.0;0;0;29.0;5.0;230.0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0
Pane bianco;Cereali e derivati;cena,pranzo;268;8.1;0.5;59.5;1120;0.0;52.3;2;0;3.8;0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0;293;0;77;0;0.0;17.0;0;0;0.7;0;0.0;0.0;0;0;0;0;0.0;0;0;0;0.0;0;0;6.0;6.0;80.0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0
Pane di tipo semintegrale;Cereali e derivati;cena,pranzo;239;8.3;0.3;52.0;1001;0.0;45.3;2.2;0;4.2;0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0;0;0;77;0;0.0;13.0;0;0;1.4;0;0.0;0.0;0;0;0;0;0.0;0;0;0;0.0;0;0;8.0;7.0;0.0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0
Pane di tipo integrale;Cereali e derivati;cena,pranzo;224;8.5;1.3;44.1;938;0.0;38.2;2;0;6.5;115;536;0.0;0;0.0;0;0.0;0.0;0.0;0;0;511;0;180;0;198.0;25.0;0;0;2.5;0;0.0;0.0;0;0;0;0;0.0;0;0;0;0.0;0;0;10.0;12.0;0.0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;0;0;0.60;0;0;0;0;0;0;0;0;0;0
Pane formato rosetta;Cereali e derivati;cena,pranzo;275;9.0;1.9;57.6;1152;0.0;45.5;7.5;0;3.1;146;163;0.0;0;0.0;0;0.0;0.0;0.0;0;0;317;15;0;0;103.0;20.0;0;0;1;0;19.0;37.0;2;0;0;0;0.0;0;0;0;0.0;0;0;4.0;2.0;101.0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;319.0;249.0;469.0;3177.0;498.0;363.0;213.0;416.0;216.0;768.0;174.0;1136.0;363.0;543.0;288.0;521.0;91.0;271.0;48;Lisina;0;0;0.05;0;0;0;0;0;0;0;0;0;0
Pangrattato;Cereali e derivati;cena,pranzo;357;10.1;2.1;77.8;1496;0.0;66.2;5;0;3.2;0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0;400;0;130;0;190.0;110.0;0;0;2.1;0;0.0;0.0;0;0;0;0;0.0;0;0;0;0.0;0;0;54.0;8.0;180.0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0
Panini al latte;Cereali e derivati;colazione;298;9.0;8.7;48.1;1249;0.0;41.3;2.7;0;1.9;0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0;460;0;130;0;170.0;130.0;0;0;1.7;0;0.0;0.0;0;0;0;0;0.0;0;0;0;0.0;0;84;22.0;13.0;180.0;0;0;0.0;0.0;0;tr;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0
Panini all'olio;Cereali e derivati;cena,pranzo;288;7.7;5.8;52.6;1204;0.0;44.2;4;0;3.7;0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0;0;0;0.0;0;0;0.0;0.0;0.0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0
Pane azzimo;Cereali e derivati;cena,pranzo;365;10.7;1.0;81.7;1528;0.0;72.5;1.9;0;3.5;157;189;0.0;0;0.0;0;0.0;0.0;0.0;0;0;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0;0;0;0.0;0;0;0.0;0.0;0.0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0
