nome;categoria;pasto_consigliato;kcal;proteine;lipidi;carboidrati;energia_kj;colesterolo;amido;zuccheri_solubili;alcol;fibra_totale;fibra_solubile;fibra_insolubile;saccarosio;glucosio;fruttosio;lattosio;galattosio;maltosio;maltotriosio;raffinosio;fluoro;sodio;magnesio;fosforo;cloro;potassio;calcio;cromo;manganese;ferro;nichel;rame;zinco;selenio;iodio;carotenoidi_totali;alfa_carotene;beta_carotene;criptoxantina;licopene;luteina;retinolo;zeaxantina;vitamina_a_equivalenti_retinolo;tiamina;riboflavina;niacina;acido_pantotenico;vitamina_b6;biotina;folati;vitamina_b12;vitamina_c;vitamina_d;vitamina_e;alfa_tocoferolo;beta_tocoferolo;gamma_tocoferolo;delta_tocoferolo;vitamina_k;acidi_grassi_saturi;rapporto_polinsaturi_saturi;alanina;cistina;acido_aspartico;acido_glutammico;fenilalanina;glicina;istidina;isoleucina;lisina;leucina;metionina;prolina;arginina;serina;treonina;valina;triptofano;tirosina;indice_chimico;aminoacido_limitante;acido_caffeico;acido_citrico;acido_fitico;acido_malico;apigenina;attivita_antiossidante;kaempferolo;fitosteroli;frutto-oligosaccaridi;miricetina;polifenoli;quercetina;violaxantina
Zucchine, chiare;Verdure e ortaggi;cena,pranzo;17;1.9;0.1;1.7;72;0.0;0.1;1.6;0;1.2;0;0;15.0;65;82.0;0;0.0;0.0;0.0;0;0;1;27;55;0;332.0;18.0;0;11;0.4;0;8.0;31.0;0;0;0;0;0.0;0;0;0;0.0;0;0;0.0;0.0;0.0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0
Zucchine chiare, cotte, al vapore;Verdure e ortaggi;cena,pranzo;20;2.0;0;2.5;84;0.0;tr;2.5;0;1.3;0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0;1;30;60;0;344.0;16.0;0;13;0.5;0;11.0;39.0;0;0;0;0;0.0;0;0;0;0.0;0;0;0.0;0.0;0.0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0
Zucchine chiare, cotte, in padella grigliate;Verdure e ortaggi;cena,pranzo;29;0.0;0.2;5.7;120;0.0;tr;5.7;0;2.8;0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0;2;65;127;0;1003.0;58.0;0;29;0.8;0;21.0;73.0;0;0;0;0;0.0;0;0;0;0.0;0;0;0.0;0.0;0.0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0
Zucchine, chiare, cotte, al microonde;Verdure e ortaggi;cena,pranzo;23;2.0;0.1;3.0;98;0.0;tr;3.0;0;1.6;0;0;55.0;121;124.0;0;0.0;0.0;0.0;0;0;2;35;72;0;414.0;22.0;0;15;0.5;0;11.0;39.0;1;0;0;0;0.0;0;0;0;0.0;0;0;0.0;0.0;0.0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0
Zucchine, scure, crude;Verdure e ortaggi;cena,pranzo;17;1.4;0.1;2.1;70;0.0;0.1;2.0;0;1.2;0;0;104.0;88;5.0;0;0.0;0.0;0.0;0;0;1;23;44;0;273.0;15.0;0;33;0.5;0;19.0;39.0;0;0;0;0;0.0;0;0;0;0.0;0;0;0.0;0.0;0.0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0
Zucchine, scure, cotte, al vapore;Verdure e ortaggi;cena,pranzo;20;1.6;0.1;2.7;85;0.0;0;2.7;0;1.5;0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0;tr;25;49;0;280.0;17.0;0;28;0.6;0;9.0;15.0;0;0;0;0;0.0;0;0;0;0.0;0;0;0.0;0.0;0.0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0
Zucchine, scure, cotte, in padella grigliate;Verdure e ortaggi;cena,pranzo;37;2.7;0.1;5.6;154;0.0;0.1;5.5;0;2.0;0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0;2;44;84;0;492.0;29.0;0;51;0.9;0;14.0;7.0;0;0;0;0;0.0;0;0;0;0.0;0;0;0.0;0.0;0.0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0
Zucchine, scure, cotte, al microonde;Verdure e ortaggi;cena,pranzo;23;1.8;0;3.5;98;0.0;0;3.5;0;1.5;0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0;1;28;55;0;327.0;21.0;0;38;0.6;0;9.0;47.0;0;0;0;0;0.0;0;0;0;0.0;0;0;0.0;0.0;0.0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0
Funghi coltivati, prataioli, crudi;Verdure e ortaggi;cena,pranzo;24;3.7;0.2;0.8;101;0.0;0;0.8;0;2.3;11;214;0.0;0;0.0;0;0.0;0.0;0.0;0;0;5;13;100;0;320.0;6.0;0;0;0.8;0;27.0;146.0;7.5;0;0;0;0.0;0;0;0;0.0;0;0;9.0;13.0;400.0;0;0;0.0;0.0;0;3;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0
Funghi coltivati, prataioli, cotti, in padella;Verdure e ortaggi;cena,pranzo;46;7.0;0.4;1.5;192;0.0;0;1.5;0;4.3;29;403;0.0;0;0.0;0;0.0;0.0;0.0;0;0;4;8;90;0;160.0;6.0;0;0;0.6;0;20.0;11.0;5.63;0;0;0;0.0;0;0;0;0.0;0;0;6.0;8.0;260.0;0;0;0.0;0.0;0;2;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0
